projectTitle	administeringIc	applicationId	awardNoticeDate	foa	projectNumber	grantNumber	type	activity	ic	serialNumber	projectStartDate	projectEndDate	contactPiPersonId	contactPiProjectLeader	organizationName	organizationIdIpf
Characterizing Innate Immune Dysregulation in Tonsils of Individuals with Down Syndrome	NHLBI	10108932	2020-09-16	RFA-OD-20-005	1R01HL155691-01	HL155691	1	R01	HL	155691	2020-09-18	2025-03-31	2087503	VERNERIS, MICHAEL R.	UNIVERSITY OF COLORADO DENVER	1199905
Systems biology analyses to identify driver genes in Down syndrome-related ALL	NICHD	10106530	2020-09-17	RFA-OD-20-006	1R03HD103908-01	HD103908	1	R03	HD	103908	2020-09-17	2022-08-31	10340341	YANG, JUN J	ST. JUDE CHILDREN'S RESEARCH HOSPITAL	7893501
Measuring global, loci-specific RNA degradation to interrogate RNA dysregulation in down syndrome during development	NICHD	10108166	2020-09-16	RFA-OD-20-006	1R03HD103995-01	HD103995	1	R03	HD	103995	2020-09-17	2022-09-16	10428021	DOWELL-DEEN, ROBIN DEANNE	UNIVERSITY OF COLORADO	1199902
Discovery of susceptibility genes for Down syndrome-associated congenital heart defects using whole genome sequencing	NHLBI	10104615	2020-09-16	RFA-OD-20-006	1R03HL156476-01	HL156476	1	R03	HL	156476	2020-09-18	2022-08-31	10639905	LESLIE, ELIZABETH JANE	EMORY UNIVERSITY	2384501
Polyamines in Down syndrome-Alzheimer's disease	NIA	10108885	2020-09-14	RFA-OD-20-004	1R21AG070297-01	AG070297	1	R21	AG	70297	2020-09-15	2022-08-31	12386109	PAREDES, DANIEL A	UNIVERSITY OF DENVER (COLORADO SEMINARY)	2091901
Exploring the role of gonadotropins in Down syndrome	NEI	10108508	2020-09-04	RFA-OD-20-004	1R21EY032320-01	EY032320	1	R21	EY	32320	2020-09-30	2022-06-30	10246955	KARAMICHOS, DIMITRIOS	UNIVERSITY OF NORTH TEXAS HLTH SCI CTR	6108502
Heart and vascular responses across the lifespan in Ts65Dn mice, a model of Down syndrome	NICHD	9896413	2020-08-03	PA-18-482	1R21HD099573-01A1	HD099573	1	R21	HD	99573	2020-09-01	2022-08-31	8832109	DERUISSEAU, LARA ROBERTS	SYRACUSE UNIVERSITY	1520301
Neural basis of locomotor dysfunction in Down Syndrome	NINDS	10091905	2020-09-22	PA-18-358	1R21NS119344-01	NS119344	1	R21	NS	119344	2020-09-30	2022-08-31	6481666	GALLO, VITTORIO	CHILDREN'S RESEARCH INSTITUTE	1518602
RAT21: Generation and Characterization of Rat Models of Down Syndrome	NICHD	10089663	2020-09-26	RFA-OD-19-027	1R24HD105357-01	HD105357	1	R24	HD	105357	2020-09-26	2024-09-25	8278142	YEAGER, MICHAEL E.	UNIVERSITY OF COLORADO DENVER	1199905
Beyond Gene Dosage: Understanding Down Syndrome via 4D Genome Organization	NHLBI	10117780	2020-09-16	RFA-RM-20-006	1U01HL156059-01	HL156059	1	U01	HL	156059	2020-09-18	2025-08-31	11204255	LI, WENBO	UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON	578417
Alzheimer Biomarker Consortium - Down Syndrome (ABC-DS)	NIA	10037875	2020-09-16	PAR-19-374	1U19AG068054-01	AG068054	1	U19	AG	68054	2020-09-30	2025-08-31	1865826	HANDEN, BENJAMIN L	UNIVERSITY OF PITTSBURGH AT PITTSBURGH	2059802
Data Management and Portal for the INCLUDE (DAPI) Project	NHLBI	10108751	2020-09-16	RFA-OD-20-007	1U2CHL156291-01	HL156291	1	U2C	HL	156291	2020-09-26	2025-08-31	9238231	RESNICK, ADAM CAIN	CHILDREN'S HOSP OF PHILADELPHIA	1499101
A Cognitive Test Battery for Intellectual Disabilities	NICHD	10119720	2020-09-16	PA-18-480	2R01HD076189-06A1	HD076189	2	R01	HD	76189	2014-09-22	2025-09-29	7846856	HESSL, DAVID R	UNIVERSITY OF CALIFORNIA AT DAVIS	577503
Development and treatment of skeletal deficits in a Down syndrome mouse model	NICHD	10114596	2020-09-17	PAR-18-714	2R15HD090603-02	HD090603	2	R15	HD	90603	2017-07-07	2023-08-31	2222174	ROPER, RANDALL J	INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	577806
Enabling self-reported outcomes for youth with developmental disabilities: The Pediatric  Evaluation of Disability Inventory - Patient Reported Outcome (PEDI-PRO) - Phase II	NICHD	10006299	2020-07-02	PA-19-270	2R42HD090772-03A1	HD090772	2	R42	HD	90772	2017-09-11	2022-06-30	8842372	DAVIES, DANIEL K	ABLELINK TECHNOLOGIES, INC.	10000091
Impact of COVID-19 on the Mental Health of People with Down Syndrome	NICHD	10215800	"NA"	PA-18-591	3K08HD092610-03S1	HD092610	3	K08	HD	92610	"NA"	"NA"	8824765	BROWN, RUTH C	VIRGINIA COMMONWEALTH UNIVERSITY	353201
CTSA KL2 Supplement Rebecca Grzadzinski	NCATS	10117614	"NA"	PA-18-591	3KL2TR002490-03S1	TR002490	3	KL2	TR	2490	"NA"	"NA"	1891097	WEINBERGER, MORRIS	UNIV OF NORTH CAROLINA CHAPEL HILL	578206
Translating Measures of Visual Experience to Children with Autism and Down Syndrome	NCATS	10117929	"NA"	PA-18-591	3KL2TR002530-03S1	TR002530	3	KL2	TR	2530	"NA"	"NA"	10868681	TUCKER EDMONDS, BROWNSYNE M	INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	577806
Celiac disease signatures in Down syndrome (KL2 Admin Suppl)	NCATS	10117961	"NA"	PA-18-591	3KL2TR002534-03S1	TR002534	3	KL2	TR	2534	"NA"	"NA"	7033668	BURNHAM, ELLEN L	UNIVERSITY OF COLORADO DENVER	1199905
Vascular Health and Risk Factors in Children with Down Syndrome	NCATS	10117908	"NA"	PA-18-591	3KL2TR002539-03S1	TR002539	3	KL2	TR	2539	"NA"	"NA"	6485210	MURTAUGH, MAUREEN A	UNIVERSITY OF UTAH	514002
Pre-clinical assessment of JAK inhibitors to ameliorate cytokine storms in Down syndrome	NIAID	10163708	"NA"	PA-18-591	3R01AI145988-02S1	AI145988	3	R01	AI	145988	"NA"	"NA"	10323245	SULLIVAN, KELLY D.	UNIVERSITY OF COLORADO DENVER	1199905
Role of SARS-CoV-2-mediated Type I IFN antagonism in individuals with Down Syndrome	NIAID	10158984	2020-08-26	PA-18-591	3R01AI150300-01S1	AI150300	3	R01	AI	150300	2020-09-01	2024-03-31	10812148	BOGUNOVIC, DUSAN	ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	3839801
Interferon hyperactivity, COVID19, and Down syndrome	NIAID	10215951	2020-09-02	PA-18-935	3R01AI150305-01S1	AI150305	3	R01	AI	150305	2020-09-02	2024-03-31	8235921	ESPINOSA, JOAQUIN M.	UNIVERSITY OF COLORADO DENVER	1199905
Genetic-epigenetic and aging interactions at COVID- 19 host response loci in Down syndrome and mouse models	NICHD	10221384	"NA"	PA-18-591	3R01HD090180-05S1	HD090180	3	R01	HD	90180	"NA"	"NA"	1891538	TYCKO, BENJAMIN	HACKENSACK UNIVERSITY MEDICAL CENTER	3117901
IFN responses and SARS-CoV-2 Receptor ACE2 Expression in the airway epithelium of young children with Down Syndrome	NHLBI	10215714	2020-09-11	PA-18-935	3R01HL141237-02S1	HL141237	3	R01	HL	141237	2020-09-11	2023-07-31	10040248	NINO, GUSTAVO	CHILDREN'S RESEARCH INSTITUTE	1518602
Down syndrome, early cataracts, eye diseases, and beta-amyloid conformers	NEI	10130996	2020-08-26	PA-18-591	3R21EY031277-02S1	EY031277	3	R21	EY	31277	2019-09-30	2021-08-31	1870012	CHANG, GEOFFREY A	UNIVERSITY OF CALIFORNIA, SAN DIEGO	577507
Bronchus-Associated Lymphoid Tissue & Lung Infection in Down Syndrome	NHLBI	10168185	"NA"	RFA-OD-19-015	3R21HL151256-01S1	HL151256	3	R21	HL	151256	"NA"	"NA"	8278142	YEAGER, MICHAEL E.	UNIVERSITY OF COLORADO DENVER	1199905
Deciphering HSA21 genes associated with Alzheimers disease in Down Syndrome	NINDS	10120793	2020-08-20	PA-18-591	3R21NS115593-02S1	NS115593	3	R21	NS	115593	2019-09-15	2021-09-14	1861367	SHEEN, VOLNEY L	BETH ISRAEL DEACONESS MEDICAL CENTER	758101
Clinical trials to prevent Alzheimer's Disease in Down Syndrome	NIA	10249007	2020-09-14	PA-18-591	3R61AG066543-02S1	AG066543	3	R61	AG	66543	2019-09-15	2021-08-31	11312884	RAFII, MICHAEL S	UNIVERSITY OF SOUTHERN CALIFORNIA	7636101
Research Training in Rheumatology INCLUDE Down Syndrome Supplement	NIAMS	10129730	"NA"	PA-18-591	3T32AR007534-34S1	AR007534	3	T32	AR	7534	"NA"	"NA"	1891727	HOLERS, VERNON MICHAEL	UNIVERSITY OF COLORADO DENVER	1199905
Predoctoral Training Grant in Pharmacology INCLUDE Down Syndrome Supplement	NIGMS	10130360	"NA"	PA-18-591	3T32GM007635-42S1	GM007635	3	T32	GM	7635	"NA"	"NA"	1879703	DELL'ACQUA, MARK L	UNIVERSITY OF COLORADO DENVER	1199905
A Longitudinal MRI Study Characterizing Very Early Brain Development in Infants with Down Syndrome	NICHD	9998993	2020-08-26	PA-13-302	5R01HD088125-03	HD088125	5	R01	HD	88125	2018-09-20	2023-08-31	6519179	BOTTERON, KELLY N	WASHINGTON UNIVERSITY	9083901
Evaluation of myocardial targets to prevent anthracycline cardiotoxicity in children with Down Syndrome and Leukemia	NCI	10022490	2020-07-24	PA-19-111	5R21CA245067-02	CA245067	5	R21	CA	245067	2019-09-23	2021-08-31	7736581	BLANCO, JAVIER G.	STATE UNIVERSITY OF NEW YORK AT BUFFALO	5992614
Down syndrome, early cataracts, eye diseases, and beta-amyloid conformers	NEI	10018872	2020-08-13	RFA-OD-19-015	5R21EY031277-02	EY031277	5	R21	EY	31277	2019-09-30	2021-08-31	1870012	CHANG, GEOFFREY A	UNIVERSITY OF CALIFORNIA, SAN DIEGO	577507
fNIRS as an outcome measure of the prefrontal hemodynamic response in Down syndrome	NICHD	10022157	2020-08-17	RFA-OD-19-015	5R21HD100997-02	HD100997	5	R21	HD	100997	2019-09-20	2022-08-31	12495810	LEE, NANCY RAITANO	DREXEL UNIVERSITY	2205901
Early risk for ADHD symptoms in young children with Down syndrome	NICHD	10022152	2020-08-17	RFA-OD-19-015	5R21HD101000-02	HD101000	5	R21	HD	101000	2019-09-20	2022-08-31	6369296	FIDLER, DEBORAH J	COLORADO STATE UNIVERSITY	1725201
Acceptability and Performance on In-Home Polysomnography in Youth with Down Syndrome	NICHD	10022153	2020-08-24	RFA-OD-19-015	5R21HD101003-02	HD101003	5	R21	HD	101003	2019-09-20	2021-08-31	6901169	KELLY, ANDREA BRIDGET	CHILDREN'S HOSP OF PHILADELPHIA	1499101
Bronchus-Associated Lymphoid Tissue & Lung Infection in Down Syndrome	NHLBI	10018101	2020-08-24	RFA-OD-19-015	5R21HL151256-02	HL151256	5	R21	HL	151256	2019-09-15	2021-08-31	8278142	YEAGER, MICHAEL E.	UNIVERSITY OF COLORADO DENVER	1199905
Identifying Measures of Pulmonary Morbidity for Clinical Trials in Children with Down Syndrome and Aspiration	NHLBI	10020429	2020-08-18	RFA-OD-19-015	5R21HL151261-02	HL151261	5	R21	HL	151261	2019-09-20	2022-08-31	10560982	DEBOER, EMILY M	UNIVERSITY OF COLORADO DENVER	1199905
Epigenetic Silencing of HSA21 in Down Syndrome	NINDS	10016836	2020-08-18	RFA-OD-19-015	5R21NS115593-02	NS115593	5	R21	NS	115593	2019-09-15	2021-09-14	1861367	SHEEN, VOLNEY L	BETH ISRAEL DEACONESS MEDICAL CENTER	758101
Clinical trials to prevent Alzheimer's Disease in Down Syndrome	NIA	10017144	2020-08-10	RFA-OD-19-018	5R61AG066543-02	AG066543	5	R61	AG	66543	2019-09-15	2021-08-31	11312884	RAFII, MICHAEL S	UNIVERSITY OF SOUTHERN CALIFORNIA	7636101
JAK Inhibition in Down Syndrome	NIAMS	10025172	2020-09-03	RFA-OD-19-018	5R61AR077495-02	AR077495	5	R61	AR	77495	2019-09-25	2021-08-31	8235921	ESPINOSA, JOAQUIN M.	UNIVERSITY OF COLORADO DENVER	1199905
Evaluating Assessment and Medication Treatment of ADHD in Children with Down Syndrome	NICHD	10022154	2020-08-25	RFA-OD-19-018	5R61HD100934-02	HD100934	5	R61	HD	100934	2019-09-30	2022-09-29	8123607	ESBENSEN, ANNA J.	CINCINNATI CHILDRENS HOSP MED CTR	615001
Positive Airway Pressure For The Treatment Of The Obstructive Sleep Apnea Syndrome In Children With Down Syndrome	NHLBI	10021692	2020-08-28	RFA-OD-19-018	5R61HL151253-02	HL151253	5	R61	HL	151253	2019-09-23	2021-08-31	10423978	TAPIA, IGNACIO ESTEBAN	CHILDREN'S HOSP OF PHILADELPHIA	1499101
Medications for Obstructive Sleep Apnea to Improve Cognition in Children with Down Syndrome (MOSAIC DS)	NHLBI	10018102	2020-08-28	RFA-OD-19-018	5R61HL151254-02	HL151254	5	R61	HL	151254	2019-09-15	2022-08-31	9155543	COMBS, DANIEL	UNIVERSITY OF ARIZONA	490201
