doi	journal	pubMedId	pubMedUrl	publicationTitle	publicationYear	keywords	authors	grantNumber	gseAccns	gseUrls	srpAccns	srpUrls	dpgapAccns	dpgapUrls
10.1021/acschemneuro.8b00311	ACS Chem Neurosci	30086237	https://www.ncbi.nlm.nih.gov/pubmed/?term=30086237	Discovery of Tricyclic Triazolo- and Imidazopyridine Lactams as M 1 Positive Allosteric Modulators	2019	CNS; M1; PAM; Positive allosteric modulator; SAR; muscarinic acetylcholine receptor 1.	Julie L Engers, Aaron M Bender, Jacob J Kalbfleisch, Hyekyung P Cho, Kaelyn S Lingenfelter, Vincent B Luscombe, Changho Han, Bruce J Melancon, Anna L Blobaum, Jonathan W Dickerson, Jerri M Rook, Colleen M Niswender, Kyle A Emmitte, P Jeffrey Conn, Craig W Lindsley	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.devcel.2018.07.001	Dev Cell	30086304	https://www.ncbi.nlm.nih.gov/pubmed/?term=30086304	Retrograde Degenerative Signaling Mediated by the p75 Neurotrophin Receptor Requires p150 Glued Deacetylation by Axonal HDAC1	2018	BDNF; HDAC1; NGF; P75NTR; axonal transport; dynactin; dynein; neurotrophin; p150(Glued); sympathetic.	Amrita Pathak, Emily M Stanley, F Edward Hickman, Natalie Wallace, Bryson Brewer, Deyu Li, Shani Gluska, Eran Perlson, Sabine Fuhrmann, Katerina Akassoglou, Francisca Bronfman, Patrizia Casaccia, Dylan T Burnette, Bruce D Carter	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1194/jlr.M086991	J Lipid Res	30087204	https://www.ncbi.nlm.nih.gov/pubmed/?term=30087204	Identification and characterization of prescription drugs that change levels of 7-dehydrocholesterol and desmosterol	2018	24-dehydrocholesterol reductase; 7-dehydrocholesterol reductase; cholesterol/biosynthesis; drug therapy; high-throughput screening; mass spectrometry; sterols.	Phillip A Wages, Hye-Young H Kim, Zeljka Korade, Ned A Porter	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1113/EP087083	Exp Physiol	30088302	https://www.ncbi.nlm.nih.gov/pubmed/?term=30088302	Reduced mitochondrial reactive oxygen species production in peripheral nerves of mice fed a ketogenic diet	2018	dorsal root ganglion; fat; ketogenic; metabolism; mitochondria; sciatic nerve.	Michael A Cooper, Colin McCoin, Dong Pei, John P Thyfault, Devin Koestler, Douglas E Wright	"[""HD090216""]"	NA	NA	NA	NA	NA	NA
10.1152/ajprenal.00154.2018	Am J Physiol Renal Physiol	30089034	https://www.ncbi.nlm.nih.gov/pubmed/?term=30089034	Early life voiding dysfunction leads to lower urinary tract dysfunction through alteration of muscarinic and purinergic signaling in the bladder	2018	bladder dysfunction; cholinergic; overactive bladder; purinergic.	Nao Iguchi, Anna P Malykhina, Duncan T Wilcox	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1016/j.celrep.2018.07.009	Cell Rep	30089255	https://www.ncbi.nlm.nih.gov/pubmed/?term=30089255	Functional Annotation of ESR1 Gene Fusions in Estrogen Receptor-Positive Breast Cancer	2018	EMT; ESR1 fusions; PDX; breast cancer; endocrine therapy resistance; metastasis.	Jonathan T Lei, Jieya Shao, Jin Zhang, Michael Iglesia, Doug W Chan, Jin Cao, Meenakshi Anurag, Purba Singh, Xiaping He, Yoshimasa Kosaka, Ryoichi Matsunuma, Robert Crowder, Jeremy Hoog, Chanpheng Phommaly, Rodrigo Goncalves, Susana Ramalho, Raquel Mary Rodrigues Peres, Nindo Punturi, Cheryl Schmidt, Alex Bartram, Eric Jou, Vaishnavi Devarakonda, Kimberly R Holloway, W Victoria Lai, Oliver Hampton, Anna Rogers, Ethan Tobias, Poojan A Parikh, Sherri R Davies, Shunqiang Li, Cynthia X Ma, Vera J Suman, Kelly K Hunt, Mark A Watson, Katherine A Hoadley, E Aubrey Thompson, Xi Chen, Shyam M Kavuri, Chad J Creighton, Christopher A Maher, Charles M Perou, Svasti Haricharan, Matthew J Ellis	"[""CA125123""]"	"[""GSE116170""]"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116170	"[""SRP151140""]"	https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP151140	NA	NA
10.1128/JVI.00813-18	J Virol	30089703	https://www.ncbi.nlm.nih.gov/pubmed/?term=30089703	Epstein-Barr Virus Type 2 Infects T Cells and Induces B Cell Lymphomagenesis in Humanized Mice	2018	B cell lymphoma; B lymphocytes; Epstein-Barr virus; T lymphocytes; humanized mouse model.	Carrie B Coleman, Julie Lang, Lydia A Sweet, Nicholas A Smith, Brian M Freed, Zenggang Pan, Bradley Haverkos, Roberta Pelanda, Rosemary Rochford	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1172/jci.insight.120159	JCI Insight	30089714	https://www.ncbi.nlm.nih.gov/pubmed/?term=30089714	HDAC11 suppresses the thermogenic program of adipose tissue via BRD2	2018	Adipose tissue; Metabolism; Transcription.	Rushita A Bagchi, Bradley S Ferguson, Matthew S Stratton, Tianjing Hu, Maria A Cavasin, Lei Sun, Ying-Hsi Lin, Dianxin Liu, Pilar Londono, Kunhua Song, Maria F Pino, Lauren M Sparks, Steven R Smith, Philipp E Scherer, Sheila Collins, Edward Seto, Timothy A McKinsey	"[""HL133230""]"	NA	NA	NA	NA	NA	NA
10.1172/jci.insight.120941	JCI Insight	30089720	https://www.ncbi.nlm.nih.gov/pubmed/?term=30089720	Requirement for MUC5AC in KRAS-dependent lung carcinogenesis	2018	Lung cancer; Oncology; Pulmonology.	Alison K Bauer, Misha Umer, Vanessa L Richardson, Amber M Cumpian, Anna Q Harder, Nasim Khosravi, Zoulikha Azzegagh, Naoko M Hara, Camille Ehre, Maedeh Mohebnasab, Mauricio S Caetano, Daniel T Merrick, Adrie van Bokhoven, Ignacio I Wistuba, Humam Kadara, Burton F Dickey, Kalpana Velmurugan, Patrick R Mann, Xian Lu, Anna E Barón, Christopher M Evans, Seyed Javad Moghaddam	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.4172/2329-9096.1000472	Int J Phys Med Rehabil	30090843	https://www.ncbi.nlm.nih.gov/pubmed/?term=30090843	Remission of Gilles de la Tourette Syndrome after Heat-Induced Dehydration	2018	Basal ganglia; Dopamine; Hypothalamus; Substantia nigra; Thermoregulation; Thermostat; Tics.	James Robert Brašić, Zoltan Mari, Alicja Lerner, Vanessa Raymont, Eram Zaidi, Dean F Wong	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1016/j.jpsychires.2018.08.004	J Psychiatr Res	30092556	https://www.ncbi.nlm.nih.gov/pubmed/?term=30092556	Photoperiod during maternal pregnancy and lifetime depression in offspring	2018	Cohort; Depression; Epidemiology; Light; Photoperiod; Pregnancy.	Elizabeth E Devore, Shun-Chiao Chang, Olivia I Okereke, Douglas G McMahon, Eva S Schernhammer	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.5664/jcsm.7274	J Clin Sleep Med	30092887	https://www.ncbi.nlm.nih.gov/pubmed/?term=30092887	Predictors of Obtaining Polysomnography Among Otolaryngologists Prior to Adenotonsillectomy for Childhood Sleep-Disordered Breathing	2018	adenotonsillectomy; obstructive sleep apnea; pediatric; polysomnography; sleep-disordered breathing.	Derek J Lam, Steven A Shea, Edward M Weaver, Ron B Mitchell	"[""HL125295""]"	NA	NA	NA	NA	NA	NA
10.1007/s00335-018-9767-2	Mamm Genome	30094507	https://www.ncbi.nlm.nih.gov/pubmed/?term=30094507	Human hyper-IgE syndrome: singular or plural?	2018	NA	Qian Zhang, Bertrand Boisson, Vivien Béziat, Anne Puel, Jean-Laurent Casanova	"[""AI127564""]"	NA	NA	NA	NA	NA	NA
10.1186/s13059-018-1492-3	Genome Biol	30097071	https://www.ncbi.nlm.nih.gov/pubmed/?term=30097071	Homeobox oncogene activation by pan-cancer DNA hypermethylation	2018	DNA methylation; Gene-body; Homeobox oncogene; Hypermethylation; Methylation editing; Pan-cancer analysis; Transcription; Whole-genome bisulfite sequencing.	Jianzhong Su, Yung-Hsin Huang, Xiaodong Cui, Xinyu Wang, Xiaotian Zhang, Yong Lei, Jianfeng Xu, Xueqiu Lin, Kaifu Chen, Jie Lv, Margaret A Goodell, Wei Li	"[""CA125123"", ""DK092883""]"	"[""GSE90780""]"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90780	"[""SRP094446""]"	https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP094446	NA	NA
10.1182/bloodadvances.2018015784	Blood Adv	30097462	https://www.ncbi.nlm.nih.gov/pubmed/?term=30097462	Elevated ecto-5'-nucleotidase: a missing pathogenic factor and new therapeutic target for sickle cell disease	2018	NA	Hong Liu, Morayo Adebiyi, Rong Rong Liu, Anren Song, Jeanne Manalo, Yuan Edward Wen, Alexander Q Wen, Tingting Weng, Junsuk Ko, Modupe Idowu, Rodney E Kellems, Holger K Eltzschig, Michael R Blackburn, Harinder S Juneja, Yang Xia	"[""HL137990""]"	NA	NA	NA	NA	NA	NA
10.1007/s10803-018-3714-7	J Autism Dev Disord	30097759	https://www.ncbi.nlm.nih.gov/pubmed/?term=30097759	Vagal Tone as a Putative Mechanism for Pragmatic Competence: An Investigation of Carriers of the FMR1 Premutation	2019	Fragile X carrier; HRV; RSA; Social (Pragmatic) Communication Disorder; Social communication.	Jessica Klusek, Amanda J Fairchild, Jane E Roberts	"[""MH090194""]"	NA	NA	NA	NA	NA	NA
10.1016/j.oraloncology.2018.06.005	Oral Oncol	30098782	https://www.ncbi.nlm.nih.gov/pubmed/?term=30098782	Nomogram for preoperative prediction of nodal extracapsular extension or positive surgical margins in oropharyngeal squamous cell carcinoma	2018	Adjuvant; Carcinoma; Chemoradiotherapy; Decision making; Head and neck cancer; Human papillomavirus (HPV); Lymph nodes; Oropharyngeal cancer; Radiation therapy; Squamous cell; Surgical margins.	Mohammad K Hararah, William A Stokes, Bernard L Jones, Ayman Oweida, Ding Ding, Jessica McDermott, Julie Goddard, Sana D Karam	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1016/j.molimm.2018.08.005	Mol Immunol	30099227	https://www.ncbi.nlm.nih.gov/pubmed/?term=30099227	SAMHD1 deficient human monocytes autonomously trigger type I interferon	2018	AGS; IFN; ISGs; SAMHD1; TBK1-IRF3.	Alicia Martinez-Lopez, Marta Martin-Fernandez, Sofija Buta, Baek Kim, Dusan Bogunovic, Felipe Diaz-Griffero	"[""AI127372""]"	NA	NA	NA	NA	NA	NA
10.1017/S1041610218000820	Int Psychogeriatr	30099977	https://www.ncbi.nlm.nih.gov/pubmed/?term=30099977	Predictors of finance management in dementia: managing bills and taxes matters	2019	activities of daily living; cognition; dementia; finance management; motor disturbances.	Clarissa M Giebel, Emma Flanagan, Caroline Sutcliffe	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.1016/j.devcel.2018.07.008	Dev Cell	30100262	https://www.ncbi.nlm.nih.gov/pubmed/?term=30100262	Trisomy 21 Represses Cilia Formation and Function	2018	Down syndrome; Pericentrin; Sonic hedgehog; Trisomy 21; centrosome; cilia; trafficking.	Domenico F Galati, Kelly D Sullivan, Andrew T Pham, Joaquin M Espinosa, Chad G Pearson	"[""CA046934"", ""CA117907""]"	NA	NA	NA	NA	NA	NA
10.1089/hum.2018.078	Hum Gene Ther	30101608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30101608	Gene Therapy Rescues Retinal Degeneration in Receptor Expression-Enhancing Protein 6 Mutant Mice	2019	REEP6; blindness; gene therapy; human disease; inherited retinal dystrophy; retinitis pigmentosa.	Smriti Agrawal Zaneveld, Aiden Eblimit, Qingnan Liang, Renae Bertrand, Nathaniel Wu, Hehe Liu, Quynh Nguyen, Jacques Zaneveld, Keqing Wang, Yumei Li, Rui Chen	"[""CA125123""]"	NA	NA	NA	NA	NA	NA
10.1371/journal.pcbi.1006369	PLoS Comput Biol	30102702	https://www.ncbi.nlm.nih.gov/pubmed/?term=30102702	SILGGM: An extensive R package for efficient statistical inference in large-scale gene networks	2018	NA	Rong Zhang, Zhao Ren, Wei Chen	"[""TR001857""]"	NA	NA	NA	NA	NA	NA
10.1038/s41588-018-0184-y	Nat Genet	30104761	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761	Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies	2018	NA	Wei Zhou, Jonas B Nielsen, Lars G Fritsche, Rounak Dey, Maiken E Gabrielsen, Brooke N Wolford, Jonathon LeFaive, Peter VandeHaar, Sarah A Gagliano, Aliya Gifford, Lisa A Bastarache, Wei-Qi Wei, Joshua C Denny, Maoxuan Lin, Kristian Hveem, Hyun Min Kang, Goncalo R Abecasis, Cristen J Willer, Seunggeun Lee	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1542/peds.2017-3225	Pediatrics	30108141	https://www.ncbi.nlm.nih.gov/pubmed/?term=30108141	Family-Driven Goals to Improve Care for Children With Autism Spectrum Disorder	2018	NA	Katherine R Bellesheim, Lynn Cole, Daniel L Coury, Larry Yin, Susan E Levy, Meghan A Guinnee, Kirsten Klatka, Beth A Malow, Terry Katz, Jane Taylor, Kristin Sohl	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1038/s41467-018-05438-4	Nat Commun	30108211	https://www.ncbi.nlm.nih.gov/pubmed/?term=30108211	Revealing circadian mechanisms of integration and resilience by visualizing clock proteins working in real time	2018	NA	Tetsuya Mori, Shogo Sugiyama, Mark Byrne, Carl Hirschie Johnson, Takayuki Uchihashi, Toshio Ando	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1038/s41380-018-0112-7	Mol Psychiatry	30108311	https://www.ncbi.nlm.nih.gov/pubmed/?term=30108311	Whole exome sequencing study identifies novel rare and common Alzheimer's-Associated variants involved in immune response and transcriptional regulation	2020	NA	Joshua C Bis, Xueqiu Jian, Brian W Kunkle, Yuning Chen, Kara L Hamilton-Nelson, William S Bush, William J Salerno, Daniel Lancour, Yiyi Ma, Alan E Renton, Edoardo Marcora, John J Farrell, Yi Zhao, Liming Qu, Shahzad Ahmad, Najaf Amin, Philippe Amouyel, Gary W Beecham, Jennifer E Below, Dominique Campion, Laura Cantwell, Camille Charbonnier, Jaeyoon Chung, Paul K Crane, Carlos Cruchaga, L Adrienne Cupples, Jean-François Dartigues, Stéphanie Debette, Jean-François Deleuze, Lucinda Fulton, Stacey B Gabriel, Emmanuelle Genin, Richard A Gibbs, Alison Goate, Benjamin Grenier-Boley, Namrata Gupta, Jonathan L Haines, Aki S Havulinna, Seppo Helisalmi, Mikko Hiltunen, Daniel P Howrigan, M Arfan Ikram, Jaakko Kaprio, Jan Konrad, Amanda Kuzma, Eric S Lander, Mark Lathrop, Terho Lehtimäki, Honghuang Lin, Kari Mattila, Richard Mayeux, Donna M Muzny, Waleed Nasser, Benjamin Neale, Kwangsik Nho, Gaël Nicolas, Devanshi Patel, Margaret A Pericak-Vance, Markus Perola, Bruce M Psaty, Olivier Quenez, Farid Rajabli, Richard Redon, Christiane Reitz, Anne M Remes, Veikko Salomaa, Chloe Sarnowski, Helena Schmidt, Michael Schmidt, Reinhold Schmidt, Hilkka Soininen, Timothy A Thornton, Giuseppe Tosto, Christophe Tzourio, Sven J van der Lee, Cornelia M van Duijn, Otto Valladares, Badri Vardarajan, Li-San Wang, Weixin Wang, Ellen Wijsman, Richard K Wilson, Daniela Witten, Kim C Worley, Xiaoling Zhang, Alzheimer’s Disease Sequencing Project, Celine Bellenguez, Jean-Charles Lambert, Mitja I Kurki, Aarno Palotie, Mark Daly, Eric Boerwinkle, Kathryn L Lunetta, Anita L Destefano, Josée Dupuis, Eden R Martin, Gerard D Schellenberg, Sudha Seshadri, Adam C Naj, Myriam Fornage, Lindsay A Farrer	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.3389/fnins.2018.00479	Front Neurosci	30108473	https://www.ncbi.nlm.nih.gov/pubmed/?term=30108473	Inhibition of Diacylglycerol Lipase Impairs Fear Extinction in Mice	2018	2-arachidonoylglycerol; FAAH; cannabinoid; endocannabinoid; extinction; fear; stress.	Victoria S Cavener, Andrew Gaulden, Dante Pennipede, Puja Jagasia, Jashim Uddin, Lawrence J Marnett, Sachin Patel	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.celrep.2018.07.050	Cell Rep	30110625	https://www.ncbi.nlm.nih.gov/pubmed/?term=30110625	Three Distinct Sets of Connector Hubs Integrate Human Brain Function	2018	brain networks; connector hubs; fMRI; functional connectivity.	Evan M Gordon, Charles J Lynch, Caterina Gratton, Timothy O Laumann, Adrian W Gilmore, Deanna J Greene, Mario Ortega, Annie L Nguyen, Bradley L Schlaggar, Steven E Petersen, Nico U F Dosenbach, Steven M Nelson	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1038/s41584-018-0070-0	Nat Rev Rheumatol	30111803	https://www.ncbi.nlm.nih.gov/pubmed/?term=30111803	Rheumatoid arthritis and the mucosal origins hypothesis: protection turns to destruction	2018	NA	V Michael Holers, M Kristen Demoruelle, Kristine A Kuhn, Jane H Buckner, William H Robinson, Yuko Okamoto, Jill M Norris, Kevin D Deane	"[""AR007534""]"	NA	NA	NA	NA	NA	NA
10.3233/BLC-170161	Bladder Cancer	30112438	https://www.ncbi.nlm.nih.gov/pubmed/?term=30112438	A Gene Expression Signature Predicts Bladder Cancer Cell Line Sensitivity to EGFR Inhibition	2018	Bladder cancer; EGFR; cetuximab; gefitinib; pharmacogenomics.	Andrew Goodspeed, Annie Jean, Dan Theodorescu, James C Costello	"[""GM007635"", ""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1177/0883073818792313	J Child Neurol	30112967	https://www.ncbi.nlm.nih.gov/pubmed/?term=30112967	Current Therapeutic Approaches in Leukodystrophies: A Review	2018	clinical trial; leukodystrophy; neurogenetics; therapeutic targets.	Eliza Gordon-Lipkin, Ali Fatemi	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1016/j.oraloncology.2018.06.022	Oral Oncol	30115470	https://www.ncbi.nlm.nih.gov/pubmed/?term=30115470	Survival impact and toxicity of metformin in head and neck cancer: An analysis of the SEER-Medicare dataset	2018	Diabetes; Head and neck cancer; Metformin; Warburg effect.	William A Stokes, Megan Eguchi, Arya Amini, Mohammad K Hararah, Ding Ding, Jessica D McDermott, Cathy J Bradley, Sana D Karam	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1016/j.oraloncology.2018.07.013	Oral Oncol	30115481	https://www.ncbi.nlm.nih.gov/pubmed/?term=30115481	Staging HPV-related oropharyngeal cancer: Validation of AJCC-8 in a surgical cohort	2018	AJCC; American joint committee on cancer; Cancer staging; HPV; Human papilloma virus; Oropharyngeal cancer; Oropharyngeal squamous cell carcinoma.	Mathew Geltzeiler, Marnie Bertolet, William Albergotti, John Gleysteen, Brennan Olson, Michael Persky, Neil Gross, Ryan Li, Peter Andersen, Seungwon Kim, Robert L Ferris, Umamaheswar Duvvuri, Daniel Clayburgh	"[""TR001857""]"	NA	NA	NA	NA	NA	NA
10.1038/s41380-018-0206-2	Mol Psychiatry	30116027	https://www.ncbi.nlm.nih.gov/pubmed/?term=30116027	Activation of the mGlu 1 metabotropic glutamate receptor has antipsychotic-like effects and is required for efficacy of M 4 muscarinic receptor allosteric modulators	2020	NA	Samantha E Yohn, Daniel J Foster, Dan P Covey, Mark S Moehle, Jordan Galbraith, Pedro M Garcia-Barrantes, Hyekyung P Cho, Michael Bubser, Anna L Blobaum, Max E Joffe, Joseph F Cheer, Carrie K Jones, Craig W Lindsley, P Jeffrey Conn	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.intimp.2018.08.007	Int Immunopharmacol	30121453	https://www.ncbi.nlm.nih.gov/pubmed/?term=30121453	Targeting myeloid-derived suppressor cells using all-trans retinoic acid in melanoma patients treated with Ipilimumab	2018	ATRA; Immunotherapy; Ipilimumab; MDSC; Melanoma; Randomized Clinical Trial.	Richard P Tobin, Kimberly R Jordan, William A Robinson, Dana Davis, Virginia F Borges, Rene Gonzalez, Karl D Lewis, Martin D McCarter	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1007/s10858-018-0205-2	J Biomol NMR	30121872	https://www.ncbi.nlm.nih.gov/pubmed/?term=30121872	Correlated motions of C'-N and C α-C β pairs in protonated and per-deuterated GB3	2018	Correlated motions; Cross-correlation NMR relaxation; Deuteration; GB3; Protein dynamics.	Liliya Vugmeyster, Aaron Griffin, Dmitry Ostrovsky, Shibani Bhattacharya, Parker J Nichols, C James McKnight, Beat Vögeli	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1016/j.jaut.2018.08.004	J Autoimmun	30122420	https://www.ncbi.nlm.nih.gov/pubmed/?term=30122420	Chimeric antigen receptor (CAR) T cells targeting a pathogenic MHC class II:peptide complex modulate the progression of autoimmune diabetes	2019	CD8 T cell; Chimeric antigen receptor; Monoclonal antibody; Peptide/MHC; Type 1 diabetes.	Li Zhang, Tomasz Sosinowski, Aaron R Cox, Joseph Ray Cepeda, Nitin S Sekhar, Sean M Hartig, Dongmei Miao, Liping Yu, Massimo Pietropaolo, Howard W Davidson	"[""CA125123""]"	NA	NA	NA	NA	NA	NA
10.1016/j.stemcr.2018.07.007	Stem Cell Reports	30122443	https://www.ncbi.nlm.nih.gov/pubmed/?term=30122443	Cell-Surface Marker Signature for Enrichment of Ventricular Cardiomyocytes Derived from Human Embryonic Stem Cells	2018	cardiac differentiation; cell-surface marker signature; human embryonic stem cells; ventricular cardiomyocytes.	Jennifer Veevers, Elie N Farah, Mirko Corselli, Alec D Witty, Karina Palomares, Jason G Vidal, Nil Emre, Christian T Carson, Kunfu Ouyang, Canzhao Liu, Patrick van Vliet, Maggie Zhu, Jeffrey M Hegarty, Dekker C Deacon, Jonathan D Grinstein, Ralf J Dirschinger, Kelly A Frazer, Eric D Adler, Kirk U Knowlton, Neil C Chi, Jody C Martin, Ju Chen, Sylvia M Evans	"[""HL131003""]"	NA	NA	NA	NA	NA	NA
10.1016/j.cub.2018.06.017	Curr Biol	30122525	https://www.ncbi.nlm.nih.gov/pubmed/?term=30122525	Predictable Events Enhance Word Learning in Toddlers	2018	prediction; sequence learning; statistical learning; word learning.	Viridiana L Benitez, Jenny R Saffran	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1093/schbul/sby088	Schizophr Bull	30124942	https://www.ncbi.nlm.nih.gov/pubmed/?term=30124942	(Micro)Glia as Effectors of Cortical Volume Loss in Schizophrenia	2018	NA	Allyson P Mallya, Ariel Y Deutch	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1002/cncr.31558	Cancer	30125347	https://www.ncbi.nlm.nih.gov/pubmed/?term=30125347	Socioeconomics, race, and ethnicity in childhood cancer survival: Accessing and addressing root causes of disparities	2018	NA	Meryl D Colton, Makenzie Hawkins, DeLayna Goulding, Myles Cockburn, Adam L Green	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1016/j.jnma.2017.06.007	J Natl Med Assoc	30126555	https://www.ncbi.nlm.nih.gov/pubmed/?term=30126555	Chronic Health Illnesses as Predictors of Mild Cognitive Impairment Among African American Older Adults	2018	NA	Shanna L Burke, Tamara Cadet, Marlaina Maddux	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.1073/pnas.1706526115	Proc Natl Acad Sci U S A	30127018	https://www.ncbi.nlm.nih.gov/pubmed/?term=30127018	Metastatic cells are preferentially vulnerable to lysosomal inhibition	2018	ID4; autophagy; chloroquine; lysosome; metastasis.	Michael J Morgan, Brent E Fitzwalter, Charles R Owens, Rani K Powers, Joseph L Sottnik, Graciela Gamez, James C Costello, Dan Theodorescu, Andrew Thorburn	"[""CA046934"", ""GM007635""]"	NA	NA	NA	NA	NA	NA
10.1002/acn3.581	Ann Clin Transl Neurol	30128317	https://www.ncbi.nlm.nih.gov/pubmed/?term=30128317	Alzheimer's genetic risk is reduced in primary age-related tauopathy: a potential model of resistance?	2018	NA	Corey T McMillan, Edward B Lee, Kyra Jefferson-George, Adam Naj, Vivianna M Van Deerlin, John Q Trojanowski, David A Wolk	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.1007/s10802-018-0469-8	J Abnorm Child Psychol	30128718	https://www.ncbi.nlm.nih.gov/pubmed/?term=30128718	A Phenotype of Childhood Autism Is Associated with Preexisting Maternal Anxiety and Depression	2019	Anxiety; Autism; Depression; Maternal; Phenotype.	Lisa D Wiggins, Eric Rubenstein, Julie Daniels, Carolyn DiGuiseppi, Marshalyn Yeargin-Allsopp, Laura A Schieve, Lin H Tian, Katherine Sabourin, Eric Moody, Jennifer Pinto-Martin, Nuri Reyes, Susan E Levy	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1177/1545968318794904	Neurorehabil Neural Repair	30129390	https://www.ncbi.nlm.nih.gov/pubmed/?term=30129390	Implementation Science: Ensuring the Return on Our Research Investment	2018	clinical and translational research; implementation science; neurorehabilitation.	Elaine H Morrato	"[""TR002535""]"	NA	NA	NA	NA	NA	NA
10.1002/mc.22887	Mol Carcinog	30129680	https://www.ncbi.nlm.nih.gov/pubmed/?term=30129680	Dual use of hematopoietic and mesenchymal stem cells enhances engraftment and immune cell trafficking in an allogeneic humanized mouse model of head and neck cancer	2018	cancer microenvironment; head and neck cancer; hematopoietic stem cell; humanized mouse model; patient-derived xenograft.	John J Morton, Stephen B Keysar, Loni Perrenoud, Tugs-Saikhan Chimed, Julie Reisinger, Brian Jackson, Phuong N Le, Cera Nieto, Karina Gomez, Bettina Miller, Dexiang Gao, Hilary Somerset, Xiao-Jing Wang, Antonio Jimeno	"[""CA046934""]"	NA	NA	NA	NA	NA	NA
10.1080/21645515.2018.1514226	Hum Vaccin Immunother	30130438	https://www.ncbi.nlm.nih.gov/pubmed/?term=30130438	Does influenza vaccination status change physician ordering patterns for respiratory viral panels? Inspection for selection bias	2019	acute respiratory infection; influenza vaccination; respiratory viral panels.	G K Balasubramani, Sean Saul, Mary Patricia Nowalk, Donald B Middleton, Jill M Ferdinands, Richard K Zimmerman	"[""TR001857""]"	NA	NA	NA	NA	NA	NA
10.1038/s41598-018-30414-9	Sci Rep	30131578	https://www.ncbi.nlm.nih.gov/pubmed/?term=30131578	Single Trial Plasticity in Evidence Accumulation Underlies Rapid Recalibration to Asynchronous Audiovisual Speech	2018	NA	David M Simon, Aaron R Nidiffer, Mark T Wallace	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.3389/fnins.2018.00513	Front Neurosci	30131667	https://www.ncbi.nlm.nih.gov/pubmed/?term=30131667	BEAPP: The Batch Electroencephalography Automated Processing Platform	2018	EEG; MATLAB; automated; batch; electroencephalography; reproducibility; signal processing.	April R Levin, Adriana S Méndez Leal, Laurel J Gabard-Durnam, Heather M O'Leary	"[""DC010290""]"	NA	NA	NA	NA	NA	NA
10.1007/s10803-018-3721-8	J Autism Dev Disord	30132098	https://www.ncbi.nlm.nih.gov/pubmed/?term=30132098	Brief Report: Maternal Opioid Prescription from Preconception Through Pregnancy and the Odds of Autism Spectrum Disorder and Autism Features in Children	2019	ASD; Developmental disorder; Opioid; Pregnancy; Risk factor.	Eric Rubenstein, Jessica C Young, Lisa A Croen, Carolyn DiGuiseppi, Nicole F Dowling, Li-Ching Lee, Laura Schieve, Lisa D Wiggins, Julie Daniels	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
